time,gamma,concurrence
0.0,0.001,1.0
0.25,0.001,1.0
0.5,0.001,1.0
0.75,0.001,0.999499874937461
1.0,0.001,0.999499874937461
1.25,0.001,0.999499874937461
1.5,0.001,0.999499874937461
1.75,0.001,0.9989994994993742
2.0,0.001,0.9989994994993742
2.25,0.001,0.9989994994993742
2.5,0.001,0.9989994994993742
2.75,0.001,0.9984988733093293
3.0,0.001,0.9984988733093293
3.25,0.001,0.9984988733093293
3.5,0.001,0.9984988733093293
3.75,0.001,0.997997995989972
4.0,0.001,0.997997995989972
4.25,0.001,0.997997995989972
4.5,0.001,0.997997995989972
4.75,0.001,0.9974968671630001
5.0,0.001,0.9974968671630001
5.25,0.001,0.9974968671630001
5.5,0.001,0.9974968671630001
5.75,0.001,0.9969954864491614
6.0,0.001,0.9969954864491614
6.25,0.001,0.9969954864491614
6.5,0.001,0.9969954864491614
6.75,0.001,0.9964938534682489
7.0,0.001,0.9964938534682489
7.25,0.001,0.9964938534682489
7.5,0.001,0.9964938534682489
7.75,0.001,0.9959919678390986
8.0,0.001,0.9959919678390986
8.25,0.001,0.9959919678390986
8.5,0.001,0.9959919678390986
8.75,0.001,0.9954898291795853
9.0,0.001,0.9954898291795853
9.25,0.001,0.9954898291795853
9.5,0.001,0.9954898291795853
9.75,0.001,0.99498743710662
10.0,0.001,0.99498743710662
10.25,0.001,0.99498743710662
10.5,0.001,0.99498743710662
10.75,0.001,0.9944847912361455
11.0,0.001,0.9944847912361455
11.25,0.001,0.9944847912361455
11.5,0.001,0.9944847912361455
11.75,0.001,0.9939818911831342
12.0,0.001,0.9939818911831342
12.25,0.001,0.9939818911831342
12.5,0.001,0.9939818911831342
12.75,0.001,0.9934787365615834
13.0,0.001,0.9934787365615834
13.25,0.001,0.9934787365615834
13.5,0.001,0.9934787365615834
13.75,0.001,0.9929753269845127
14.0,0.001,0.9929753269845127
14.25,0.001,0.9929753269845127
14.5,0.001,0.9929753269845127
14.75,0.001,0.9924716620639604
15.0,0.001,0.9924716620639604
15.25,0.001,0.9924716620639604
15.5,0.001,0.9924716620639604
15.75,0.001,0.9919677414109795
16.0,0.001,0.9919677414109795
16.25,0.001,0.9919677414109795
16.5,0.001,0.9919677414109795
16.75,0.001,0.991463564635635
17.0,0.001,0.991463564635635
17.25,0.001,0.991463564635635
17.5,0.001,0.991463564635635
17.75,0.001,0.9909591313469996
18.0,0.001,0.9909591313469996
18.25,0.001,0.9909591313469996
18.5,0.001,0.9909591313469996
18.75,0.001,0.9904544411531506
19.0,0.001,0.9904544411531506
19.25,0.001,0.9904544411531506
19.5,0.001,0.9904544411531506
19.75,0.001,0.9899494936611666
20.0,0.001,0.9899494936611666
20.25,0.001,0.9899494936611666
20.5,0.001,0.9899494936611666
20.75,0.001,0.9894442884771228
21.0,0.001,0.9894442884771228
21.25,0.001,0.9894442884771228
21.5,0.001,0.9894442884771228
21.75,0.001,0.9889388252060892
22.0,0.001,0.9889388252060892
22.25,0.001,0.9889388252060892
22.5,0.001,0.9889388252060892
22.75,0.001,0.9889388252060892
23.0,0.001,0.9884331034521254
23.25,0.001,0.9884331034521254
23.5,0.001,0.9884331034521254
23.75,0.001,0.9884331034521254
24.0,0.001,0.9879271228182775
24.25,0.001,0.9879271228182775
24.5,0.001,0.9879271228182775
24.75,0.001,0.9879271228182775
25.0,0.001,0.9874208829065749
25.25,0.001,0.9874208829065749
25.5,0.001,0.9874208829065749
25.75,0.001,0.9874208829065749
26.0,0.001,0.9869143833180262
26.25,0.001,0.9869143833180262
26.5,0.001,0.9869143833180262
26.75,0.001,0.9869143833180262
27.0,0.001,0.9864076236526155
27.25,0.001,0.9864076236526155
27.5,0.001,0.9864076236526155
27.75,0.001,0.9864076236526155
28.0,0.001,0.985900603509299
28.25,0.001,0.985900603509299
28.5,0.001,0.985900603509299
28.75,0.001,0.985900603509299
29.0,0.001,0.985393322486001
29.25,0.001,0.985393322486001
29.5,0.001,0.985393322486001
29.75,0.001,0.985393322486001
30.0,0.001,0.9848857801796105
30.25,0.001,0.9848857801796105
30.5,0.001,0.9848857801796105
30.75,0.001,0.9848857801796105
31.0,0.001,0.984377976185977
31.25,0.001,0.984377976185977
31.5,0.001,0.984377976185977
31.75,0.001,0.984377976185977
32.0,0.001,0.984377976185977
32.25,0.001,0.9838699100999074
32.5,0.001,0.9838699100999074
32.75,0.001,0.9838699100999074
33.0,0.001,0.9838699100999074
33.25,0.001,0.9833615815151617
33.5,0.001,0.9833615815151617
33.75,0.001,0.9833615815151617
34.0,0.001,0.9833615815151617
34.25,0.001,0.9828529900244491
34.5,0.001,0.9828529900244491
34.75,0.001,0.9828529900244491
35.0,0.001,0.9828529900244491
35.25,0.001,0.982344135219425
35.5,0.001,0.982344135219425
35.75,0.001,0.982344135219425
36.0,0.001,0.982344135219425
36.25,0.001,0.9818350166906862
36.5,0.001,0.9818350166906862
36.75,0.001,0.9818350166906862
37.0,0.001,0.9818350166906862
37.25,0.001,0.9813256340277675
37.5,0.001,0.9813256340277675
37.75,0.001,0.9813256340277675
38.0,0.001,0.9813256340277675
38.25,0.001,0.9808159868191383
38.5,0.001,0.9808159868191383
38.75,0.001,0.9808159868191383
39.0,0.001,0.9808159868191383
